snomedcode,Ethnicity,Grouping_16,Grouping_6
978081000000108,Asian or Asian Scottish or Asian British: Pakistani Pakistani Scottish or Pakistani British - Scotland ethnic category 2011 census,9,3
977381000000106,Irish Traveller - Northern Ireland ethnic category 2011 census,3,1
978121000000106,Asian or Asian Scottish or Asian British: Indian Indian Scottish or Indian British - Scotland ethnic category 2011 census,8,3
976921000000107,Black or African or Caribbean or Black British : Caribbean - England and Wales ethnic category 2011 census (finding),12,4
978221000000102,Asian or Asian Scottish or Asian British: any other Asian group - Scotland ethnic category 2011 census,11,3
976821000000102,Asian or Asian British: Pakistani - England and Wales ethnic category 2011 census,9,3
977761000000103,Asian or Asian British: Chinese - Northern Ireland ethnic category 2011 census,15,5
976701000000100,White: any other white background - England and Wales ethnic category 2011 census,3,1
977361000000102,White - Northern Ireland ethnic category 2011 census,1,1
977981000000105,White: Gypsy or Irish Traveller - Scotland ethnic category 2011 census,3,1
977801000000108,Black or African or Caribbean or Black British: African - Northern Ireland ethnic category 2011 census,13,4
414481008,Indian (racial group),8,3
415226007,Race not stated (racial group),0,0
977721000000106,Asian or Asian British: Pakistani - Northern Ireland ethnic category 2011 census,9,3
977821000000104,Black or African or Caribbean or Black British: Caribbean - Northern Ireland ethnic category 2011 census,12,4
978371000000108,Caribbean or Black: any other Black or Caribbean group - Scotland ethnic category 2011 census,14,4
977741000000104,Asian or Asian British: Bangladeshi - Northern Ireland ethnic category 2011 census,10,3
977841000000106,Black or African or Caribbean or Black British: other black or African or Caribbean background - Northern Ireland ethnic category 2011 census,14,4
978201000000106,Asian or Asian Scottish or Asian British: Chinese - Scotland ethnic category 2011 census,15,5
978261000000105,African: any other African - Scotland ethnic category 2011 census,13,4
978181000000107,Asian or Asian Scottish or Asian British: Bangladeshi Bangladeshi Scottish or Banagaldeshi British - Scotland ethnic category 2011 census,10,3
978351000000104,Caribbean or Black: Black Black Scottish or Black British - Scotland ethnic category 2011 census,14,4
978281000000101,Caribbean or Black: Caribbean Caribbean Scottish or Caribbean British - Scotland ethnic category 2011 census,12,4
977961000000101,White: Irish - Scotland ethnic category 2011 census,2,1
977941000000102,White: other British - Scotland ethnic category 2011 census,1,1
976681000000102,White: Gypsy or Irish Traveller - England and Wales ethnic category 2011 census,3,1
494141000000101,White British - ethnic category 2001 census,1,1
415794004,Unknown racial group (racial group),0,0
521000220104,Black Irish (ethnic group),14,4
